Frame_number,Cell_number,Cell_colour,Position_X,Position_Y
1,1,0.0,159.5,313.5
1,2,0.0,176.5,389.5
1,3,0.0,185.5,300.5
1,4,0.0,201.5,391.5
1,5,0.0,224.5,112.5
1,6,0.0,229.5,139.5
1,7,0.0,254.5,121.5
1,8,0.0,286.5,338.5
1,9,0.0,322.5,220.5
1,10,0.0,323.5,192.5
1,11,0.0,349.5,206.5
1,12,0.0,244.5,97.5
1,13,0.0,264.5,340.5
1,14,1.0,309.5,203.5
3,1,0.0,160.5,314.5
3,2,0.0,177.5,391.5
3,3,0.0,185.5,301.5
3,4,0.0,201.5,392.5
3,5,0.0,225.5,114.5
3,6,0.0,230.5,140.5
3,7,0.0,254.5,122.5
3,8,0.0,286.5,340.5
3,9,0.0,323.5,221.5
3,10,0.0,323.5,194.5
3,11,0.0,350.5,207.5
3,12,0.0,243.5,99.5
3,13,0.0,309.5,204.5
3,14,0.0,263.5,339.5
5,1,0.0,162.5,314.5
5,2,0.0,179.5,391.5
5,3,0.0,187.5,301.5
5,4,0.0,203.5,393.5
5,5,0.0,227.5,114.5
5,6,0.0,232.5,141.5
5,7,0.0,246.5,99.5
5,8,0.0,256.5,122.5
5,9,0.0,266.5,340.5
5,10,0.0,289.5,340.5
5,11,0.0,325.5,221.5
5,12,0.0,325.5,194.5
5,13,0.0,352.5,208.5
5,14,0.0,312.5,205.5
7,1,0.0,162.5,315.5
7,2,0.0,179.5,391.5
7,3,0.0,188.5,302.5
7,4,0.0,204.5,393.5
7,5,0.0,227.5,114.5
7,6,0.0,232.5,141.5
7,7,0.0,242.5,96.5
7,8,0.0,257.5,123.5
7,9,0.0,265.5,341.5
7,10,0.0,289.5,340.5
7,11,0.0,325.5,222.5
7,12,0.0,325.5,194.5
7,13,0.0,352.5,208.5
7,14,0.0,308.5,204.5
9,1,0.0,162.5,316.5
9,2,0.0,179.5,392.5
9,3,0.0,189.5,302.5
9,4,0.0,204.5,394.5
9,5,0.0,227.5,114.5
9,6,0.0,233.5,142.5
9,7,0.0,239.375,94.3125
9,8,0.0,258.5,124.5
9,9,0.0,265.5,341.5
9,10,0.0,290.5,341.5
9,11,0.0,325.5,224.5
9,12,0.0,326.5,193.5
9,13,0.0,353.5,209.5
9,14,0.0,248.5,105.5
9,15,0.0,311.5,203.5
11,1,0.0,163.5,316.5
11,2,0.0,178.5,390.5
11,3,0.0,190.5,302.5
11,4,0.0,206.5,393.5
11,5,0.0,229.5,115.5
11,6,0.0,235.5,142.5
11,7,0.0,239.5,92.5
11,8,0.0,260.5,124.5
11,9,0.0,266.5,341.5
11,10,0.0,291.5,340.5
11,11,0.0,328.5,192.5
11,12,0.0,329.5,227.5
11,13,0.0,354.5,209.5
11,14,0.0,327.5,209.5
11,15,0.0,313.5,203.5
11,16,0.0,249.5,103.5
12,1,0.0,163.5,316.5
12,2,0.0,178.5,389.5
12,3,0.0,190.5,302.5
12,4,0.0,206.5,393.5
12,5,0.0,229.5,115.5
12,6,0.0,235.5,141.5
12,7,0.0,239.5,92.5
12,8,0.0,260.5,124.5
12,9,0.0,267.5,341.5
12,10,0.0,292.5,340.5
12,11,0.0,329.5,191.5
12,12,0.0,329.5,228.5
12,13,0.0,353.5,209.5
12,14,0.0,328.5,208.5
12,15,0.0,313.5,203.5
