Frame_number,Cell_number,Position_x,Position_y,Unique_cell_number
1,1,160.72,314.39,1
1,2,177.82,390.89,2
1,3,186.21,301.14,3
1,4,202.1,392.69,4
1,5,225.79,113.4,5
1,6,230.99,140.44,6
1,7,255.2,122.2,7
1,8,287.43,339.77,8
1,9,323.91,221.56,9
1,10,324.66,193.7,10
1,11,350.93,207.67,11
2,1,162.92,314.6,1
2,2,179.88,391.49,2
2,3,188.14,301.58,3
2,4,204.07,393,4
2,5,227.88,114.31,5
2,6,233.01,140.85,6
2,7,257.07,122.97,7
2,8,289.54,340.13,8
2,9,326.43,221.8,9
2,10,326.6,194.26,10
2,11,352.91,208.12,11
3,1,161.18,315.48,1
3,2,178.37,392.24,2
3,3,186.71,302.52,3
3,4,202.46,393.91,4
3,5,226.11,115.04,5
3,6,231.5,141.73,6
3,7,255.59,123.63,7
3,8,287.92,341,8
3,9,324.57,222.59,9
3,10,324.8,195.1,10
3,11,351.38,208.85,11
4,1,162.63,315.76,1
4,2,179.74,392.1,2
4,3,188.2,302.58,3
4,4,204.03,393.99,4
4,5,227.94,115.15,5
4,6,232.94,141.88,6
4,7,257.09,123.7,7
4,8,289.48,341.08,8
4,10,326.41,195.11,10
4,9,326.24,222.91,9
4,11,352.96,209.07,11
5,1,163.31,315.89,1
5,2,180.25,392.2,2
5,3,188.99,302.55,3
5,4,204.72,394.08,4
5,5,228.56,115.35,5
5,6,233.72,142,6
5,12,247.22,100.92,12
5,7,257.77,123.81,7
5,13,267.16,341.68,13
5,8,290.15,341.21,8
5,9,326.95,222.62,9
5,10,326.5,195.37,10
5,11,353.54,209.02,11
6,1,161.99,316.08,1
6,2,179.22,392.43,2
6,3,187.96,302.93,3
6,4,203.81,394.39,4
6,5,227.12,115.57,5
6,6,232.7,142.14,6
6,12,245,99.13,12
6,7,256.93,124.02,7
6,13,265.85,342.32,13
6,8,289.32,341.63,8
6,9,325.44,223.34,9
6,10,325.56,195.26,10
6,11,352.52,209.41,11
7,1,163.07,316.15,1
7,2,180.33,392.6,2
7,3,189.18,303.02,3
7,4,205.04,394.35,4
7,5,228.3,115.65,5
7,6,233.81,142.11,6
7,12,243.46,97.484,12
7,7,258.14,124.27,7
7,13,266.79,342.19,13
7,8,290.48,341.57,8
7,9,326.78,223.34,9
7,10,326.77,195.37,10
7,11,353.79,209.78,11
8,1,162.95,316.48,1
8,2,180.12,392.58,2
8,3,189.1,303.23,3
8,4,204.98,394.47,4
8,5,227.98,115.65,5
8,6,233.81,142.74,6
8,12,241.6,96.141,12
8,7,258.31,124.41,7
8,13,265.95,342.45,13
8,8,290.36,341.8,8
8,9,326.54,224,9
8,10,326.74,194.67,10
8,11,353.82,209.88,11
9,1,163.78,317.1,1
9,2,180.88,393.17,2
9,3,190.02,303.65,3
9,4,205.8,395.08,4
9,5,228.72,115.99,5
9,6,234.46,143.12,6
9,12,240.78,95.401,12
9,7,259.58,125.33,7
9,13,266.55,342.97,13
9,8,291.29,342.16,8
9,9,326.8,225.43,9
9,10,327.74,194.37,10
9,11,354.3,210.35,11
10,1,164.99,317.07,1
10,2,181.14,392.45,2
10,3,191.12,303.32,3
10,4,207.06,394.76,4
10,5,230.07,116.08,5
10,6,235.98,142.94,6
10,12,241,94.434,12
10,7,261.02,125.16,7
10,13,267.5,342.36,13
10,8,292.63,341.98,8
10,9,329.1,227.43,9
10,10,329.34,193.58,10
10,11,355.18,210.37,11
11,1,164.69,317.38,1
11,2,179.79,391.25,2
11,3,191.57,303.26,3
11,4,207.19,394.67,4
11,5,230.57,116.18,5
11,6,236.19,143.2,6
11,12,240.78,93.773,12
11,7,261.46,125.61,7
11,13,267.45,342.42,13
11,8,292.89,341.85,8
11,10,329.71,193.16,10
11,9,330.1,228.83,9
11,11,355.04,210.5,11
12,1,164.77,317.15,1
12,2,179.86,390.49,2
12,3,191.46,303.01,3
12,4,207.28,394.38,4
12,5,230.85,116.37,5
12,6,236.8,142.88,6
12,12,240.38,93.572,12
12,7,261.74,125.66,7
12,13,268.04,342.1,13
12,8,293.11,341.46,8
12,10,330.42,192.68,10
12,9,330.88,229.25,9
12,11,354.95,210.29,11
13,1,164.61,317.34,1
13,2,179.86,390.43,2
13,3,191.54,303.08,3
13,4,207.26,394.4,4
13,5,230.88,116.21,5
13,6,236.62,142.8,6
13,12,240.31,93.674,12
13,7,261.53,125.76,7
13,13,267.94,342.23,13
13,8,293.02,341.46,8
13,10,330.3,192.78,10
13,9,330.91,229.34,9
13,11,354.85,210.36,11
14,1,164.2,317.48,1
14,2,179.43,390.58,2
14,3,191.31,303.13,3
