Frame_number, Cell_number, Unique_cell_number
43,1,1
43,2,2
43,3,3
43,4,4
43,5,5
43,6,6
43,7,7
43,8,8
43,9,9
43,10,10
43,11,11
43,12,12
43,13,13
43,14,14
43,15,15
43,16,16
43,17,17
43,18,18
43,19,19
43,20,20
43,21,21
43,22,22
44,1,1
44,2,2
44,3,3
44,4,4
44,5,5
44,6,6
44,7,7
44,8,8
44,9,9
44,10,10
44,11,11
44,12,12
44,13,13
44,14,14
44,15,15
44,16,16
44,17,17
44,18,18
44,19,19
44,20,20
44,21,21
44,22,22
45,1,1
45,2,2
45,3,3
45,4,4
45,5,5
45,6,6
45,7,7
45,8,8
45,9,9
45,10,10
45,11,11
45,12,12
45,13,13
45,14,14
45,15,15
45,16,16
45,17,17
45,18,18
45,19,19
45,20,20
45,21,21
45,22,22
46,1,1
46,2,2
46,3,3
46,4,4
46,5,5
46,6,6
46,7,7
46,8,8
46,9,9
46,10,10
46,11,11
46,12,12
46,13,13
46,14,14
46,15,15
46,16,16
46,17,17
46,18,18
46,19,19
46,20,20
46,21,21
46,22,22
47,1,1
47,2,2
47,3,3
47,4,4
47,5,5
47,6,6
47,7,7
47,8,8
47,9,9
47,10,10
47,11,11
47,12,12
47,13,13
47,14,14
47,15,15
47,16,16
47,17,17
47,18,18
47,19,19
47,20,20
47,21,21
47,22,22
48,1,1
48,2,2
48,3,3
48,4,4
48,5,5
48,6,6
48,7,7
48,8,8
48,9,9
48,10,10
48,11,11
48,12,12
48,13,13
48,14,14
48,15,15
48,16,16
48,17,17
48,18,18
48,19,19
48,20,20
48,21,21
48,22,22
49,1,1
49,2,2
49,3,3
49,4,4
49,5,5
49,6,6
49,7,7
49,8,8
49,9,9
49,10,10
49,11,11
49,12,12
49,13,13
49,14,14
49,15,15
49,16,16
49,17,17
49,18,18
49,19,19
49,20,20
49,21,21
49,22,22
49,23,23
