Frame_number, Cell_number, Cell_colour, Position_X, Position_Y, Unique_cell_number
1,1,-1,185.48,95.663,1
1,2,-1,371.94,142.13,2
1,3,-1,71.94,137.98,3
1,4,-1,354.26,157.84,4
1,5,-1,382.06,45.814,5
1,6,-1,421.96,89.226,6
1,7,-1,394.75,72.974,7
1,8,-1,423.22,297.81,8
1,9,-1,446.24,287.13,9
1,10,-1,380.93,167.43,10
1,11,-1,450.1,132.38,11
1,12,-1,236.78,97.918,12
1,13,-1,205.97,115.17,13
1,14,-1,363.98,269.86,14
1,15,-1,244.18,238.87,15
1,16,-1,442.73,78.568,16
1,17,-1,351.3,182.56,17
1,18,-1,493.45,307.29,18
1,19,-1,335.95,333.19,19
1,20,-1,374.56,331.89,20
1,21,-1,494.85,331.8,21
1,22,-1,341.15,291.42,22
1,23,-1,430.21,264.58,23
1,24,-1,338.43,267.4,24
1,25,-1,343.2,134.89,25
1,26,-1,396.88,278.81,26
1,27,-1,408.88,162.7,27
1,28,-1,232.58,73.55,28
1,29,-1,364.81,114.45,29
1,30,-1,168.14,72.962,30
1,31,-1,168.35,276.47,31
1,32,-1,425.59,60.35,32
1,33,-1,272.15,129.56,33
1,34,-1,241.27,126.82,34
1,35,-1,192.56,183.68,35
1,36,-1,400.64,141.03,36
1,37,-1,392.9,390.27,37
1,38,-1,362.18,85.918,38
1,39,-1,490.85,274.54,39
1,40,-1,152.85,98.855,40
1,41,-1,396.11,106.99,41
1,42,-1,368.83,300.96,42
1,43,-1,454.82,58.916,43
1,44,-1,345.96,317.77,44
1,45,-1,469.95,292.59,45
1,46,-1,126.77,131.69,46
1,47,-1,212.79,88.139,47
1,48,-1,370.3,398.95,48
1,49,-1,214.59,141.73,49
1,50,-1,423.02,327.27,50
1,51,-1,427.38,151.69,51
1,52,-1,60.786,124.73,52
1,53,-1,192.78,223.51,53
1,54,-1,264.47,251.84,54
1,55,-1,267.15,277.97,55
1,56,-1,257.87,182.1,56
1,57,-1,260.8,216.6,57
1,58,-1,86.149,106.56,58
1,59,-1,354.87,58.942,59
1,60,-1,186.44,253.42,60
1,61,-1,242.47,156.75,61
1,62,-1,101.3,81.545,62
1,63,-1,101.53,134.5,63
1,64,-1,103.51,162.29,64
1,65,-1,358.02,374.91,65
1,66,-1,463.19,260.11,66
1,67,-1,213.73,265.67,67
1,68,-1,350.44,346.07,68
1,69,-1,382.1,361.34,69
1,70,-1,106.12,190.6,70
1,71,-1,449.03,101.83,71
1,72,-1,260.5,144.47,72
1,73,-1,243.26,199.34,73
1,74,-1,215.93,240.63,74
1,75,-1,192.27,285.26,75
1,76,-1,222.5,180.42,76
1,77,-1,228.72,215.99,77
1,78,-1,197.96,164.44,78
1,79,-1,75.975,187.51,79
1,80,-1,175.35,117.43,80
1,81,-1,415.63,120.79,81
1,82,-1,165.51,167.23,82
1,83,-1,131.97,155.36,83
1,84,-1,160,137.11,84
1,85,-1,405.44,346.94,85
1,86,-1,381.58,91.815,86
1,87,-1,187.6,135.94,87
1,88,-1,206.29,201.1,88
1,89,-1,396.8,314.28,89
1,90,-1,78.629,158.08,90
1,91,-1,384.77,125.62,91
1,92,-1,463.59,81.73,92
1,93,-1,118.78,106.99,93
1,94,-1,177.4,198.56,94
1,95,-1,430.9,115.97,95
1,96,-1,462.36,311.95,96
1,97,-1,136.48,121.76,97
1,98,-1,426.67,129.12,98
1,99,-1,139.48,190.35,99
1,100,-1,157.56,229.52,100
1,101,-1,227.19,254,101
1,102,-1,187.85,64.964,102
2,1,-1,186.21,95.462,1
2,2,-1,372.58,141,2
2,3,-1,73.467,138.17,3
2,4,-1,354.8,156.97,4
2,5,-1,383.17,45.127,5
2,6,-1,422.34,88.647,6
2,7,-1,394.82,72.139,7
2,8,-1,423.75,297.01,8
